Letters,Target
me new yonnen eee ee if you’ve taste for sumptuous tobaccos oental seat tnt definite distinction marlboro un aera,4
from whitehurst ken to saidiner nicholas s cc michalek joseph j bc primary date 3101997 14146 pm last modified date 200nov20 142933 last touched date sent date 1997mar10 134146 received date 1997mar10 134146 subject attachment hey guys what is the status on the came museum stough that we were buying from th ken rjr0000000521034446 70016 1118 lolz 622g,2
what does philip morris have to sayabout the allegation of “nicotine manipulation”  ing yan bhat oe esee ce e  plenty selecton of brand packings ezch wih 2 publched tar“and ncaire philip morris usa,4
johns hopkins medical institutions department of pathology 600 north woe stret baltimore md 21287   august 12 1994 arthur eisenberg md council for tobacco research 4th floor 900 third avenue new york ny 10022 dear dr eisenberg enclosed is a preliminary application for the council for tobacco rescarch’s program of ‘research support this includes a three page narrative summary two page curricula vitae for myself and ‘two consultants and one copy each of three manuscripts i would like to thank the council for considering this proposal sincerely uh elizabeth j perlman md ejpac do 50643176,0
indy 500 pole position winner al unser jr signs autographs for fans at the indlanapolls motor speedway indianapolis 500 battling for final spots 3 will try to eam berths next weekend indianapolis ap — ‘even a novice in mathematios knows 13 doesnt go into thre ‘starting the second week of ‘practice forthe indianapolis 500 that is the situation — 13 divers trying to find enough speed to take one ofthe three co ‘maining positions in the 33ar lineup forthe may 29 race thirty divers led by al unser jn’s fourdap average of 228011 mph completed qual ifying runs saturday and sunday the first of two week ‘ends of time trials ‘once the field is fille the slo west qualifiers from either week gid can be bumped out by faster ‘so far the slowest drivers in the tentative field are teammates ‘rahal and mike groff at 220178 and 218808 neither appears secure in light of some  ofthe practice speeds turned in s0 far by nonqualified entries “were going to stat getting the cars ready for the race” rahal the 1986 indy winner said monday “were stil in it at this point who knows maybe it ‘will rain all weekend ‘the qualified cars were back at the rahalhogan team’s race shop in dublin ohio being readied forthe race groff who crashed in practice last monday ran the repaired lolahonda on ‘monday and rahal is expected o test his backup car on tucsday ‘groff finished 24th in 1991 his only indy start he also qual iffed forthe race in 1992 but was replaced in the car by then teammate scott goodyear who started last and went om to finish groff ran 49 laps a top speed of 212791 from his lolahonda ‘te fastest among the drivers ‘who have not qualified is goodyear who crashed his backup car on sunday and has quick lap of 223037 in his pri mary car gleblle80,9
ro   ea aed  a   ‘titan nt 207208 198 influence of aromatic hydrocarbon receptorme eros eke gip gat asie w633 lee ted events on the genotoxicity of cigarette smoke condensate ‘stephen ddertinges allen esilverstons and ‘thomas a gaslewiz avirmnenal hela sees coe depaten of cava mila wed weparnent of booty to senso sse uaveiy of new wor haas science cot secs nn usa ro wham somependence soul be ateret ‘boat gaioct vmekrsboneece ‘the role of aromatic hydrocarbon receptor arrmediated cyeols on the gunotovity of mainstream cigarcite smoke eadeasae wat knysna i ye tude wth ause epatoma cells stably transfected with a dredependent cferase reporter indteate that elgarete smoke condensate sable to transform amr to an active form which ls capable of tnidating gene transcription micronucleus formation in ‘bro bepatocaa cell lines was used asan index of genotoxic cigaretze smoke condensate was observed to induce 4 higher frequency of mieronuele in hepalelc7 calls relative vo taocibpet cells which exprest 10fold less abr parthermore te frequency of mucronnciel was potentiated ‘hea hepaicle cally were pretreated with 225758ttra ‘hlorodibenzepdloxio w high ality ligand of abr these in vitro studies ware followed by an in vivo experiment swith air and ahr mice apimals were dosed of ‘ree consecutive days with cigarette smoke condensate 0510 ugteesay lp injection the frequency of amicronuclel io reticulocytes and total erythrocytes as ‘determined in peripheral blood samples collected 24 after the ast administration while condensate was found to increase the fncidence of micronucleated reticulocyte in ‘ais mee 90 increase war observed in the null allele ‘unimals furthermore the frequency of micronocleated 2 srearure of basal chromesomedamaging scone was aighty ut signex higher tm ar felaive to ahr mice together these data suggest that garetia smoke contains chemicals which transform the ‘arr to an active transcription factor and ahrcegulated ‘enzyme induction plays an important role in mediating the enotonllty of is complex eaviroamental pollutant introduction ‘human exposure to geoctoxic end carcinogenic chemicals is ‘ypleally to the form of complex mixtures ruber dhan as ‘plied ehemlcals in glation 1 cigarene mek is a prime asbeestdos at made hymna agar arnt sma bydre cir ‘steen erp pala onan pnein beh bemesepeans cote ‘ses ‘csesseesteet example i is comprised of nearly 4000 chemicals and is ought to contibire to 35 of cancers in the usa 24 ‘some ofthe cxins found ia cigarete smecke such a nitosac nes und polycyclic aromatic hydrocarbons are procarcinogens these chemicals ae relatively nonionic unt they are met bolially activated to genotoxic intermediates 5 ln combina ‘don with theee potential carcinogens egazete amcke contains compounds which lnduce a number of cytochrome pso isozymes incuding cypial ta2 and 2e1 68 increased cexpetsion of thee and other drug metabolizing enzymes may induence the carcinogenicity of the mixture since they ead ‘bioansfom clgareae smoke consteueats uch as beazslalpy ‘exe gblap and 4methyaitesamino13pyridybotanoce ta rescive elactrophiles 912 te has beea assumed at cigerete emoke upregulares enzyme expression af lenat in pare through he aromatic ‘hydrocarbon receptor ar upon ligand binding the abr is teaslocated to the mucleus where it beterodimerizes with the aromatic hydrocarbon receptor nuclear transleatoc protein arnt the abrarnt complex specidcally wines 0 fiosinesponsive elements dres and inidates gene teanscrip tloa in adjceat genes 1317 recently gebremicheal et al cs deecly demonstrated thet cigar tok captains high mggnity ank ligands which are capable of wanstorming te ‘receptor to an sedve transcription factor however the cone ‘sequence of ahfemedlated enzyme indoction ca the carcino ‘gency of clgarete smoke is not elem te ie pocetble that sensitive paso activites dicate the genetic toxlcly of ‘slgureze smoke or that osher biochemical precesses eg dna ssp carry iftevaes ring om are ee ge0e transcription alternately abrdependent eveats may sienifcanly indoence eigarette smokeinduced geaotaxiciy ‘the experiments described in this report were iid 10 evaluate whether arrregulated gene expression inflences te geactic toxicity associated with the complex mine of chemiedls in cgareze smoke condensate csc athe preset study we evaluated the ably of csc induce abrmedisted gene transcription inthe mouse hepatoma call line hepaicle7 19 a subclose hepa 2dluc has been sly ‘wansfected with a lulferase eponer gine under the contol cof two dres ths in this system lucifersse activity served 8 a reporer of abrmediated gene transciption wdcronuclous formadon served as tn indo of csc induced enatic toxicity microntclet min azise from clastogeaic o¢ ‘orogenic events which generate chromosome fragments of lagging whole chremesomes respectively 2021 after tel phase the diplaced chromatin may be excluded from the ducel of daughter cells and is appareat in the cytoplasm 25  ficroqucleas ie oti mileronucieue atudien were performed with hepaicic and taocibpel cells the later being ® ‘mutant cell line with tow receptor aumber 10fold lower ‘han wildeype 2223 those experiments were subsequent ‘extended t0 an in vivo model involving ahy” and ‘ice following acute exposure to csc min were scored in 2037 wc bsezz6l0sz,6
x 8  g 3 8 8 8,4
bias ora oe ant ie ee  a te ea li em a  i i i,4
rjreynulds tobaceu company winsstees ais woo sre protons ror november 15 1983 mr jim belanger phoenix pride 2303 n central avenue phoenix az 85004 dear jim this letter is to confirm the various elements of the program we will be executing during the 19831984 season per my discussion with mr rick soltesz the following promotional nights have been approved by mr soltesz friday december 16th  camel calendar night 75m thursday february 23rd  camel cap night 26m camel agrees tc © on each night camel will be permitted to distribute camel samples © camel will furnish the abovementioned calendars and caps at no cost to the pride  camel will pay the agreed to promotional fee to the pride for camel ‘involvement © camel will print and distribute 50m schedule posters in and around the phoenfx area © camel will furnish one jacket for giveaway by the pride at each home game pride agrees to © provide r j reynolds employees 40 complimentary tickets for each camel promotional night © provide four complimentary season tickets to rjr management © pride wit provide space for dasher board at each of the home games © pride wil support the camel promotions with instadium message board and public address sytem © pride will handle the distribution of one camel jacket at each home game during halftime drawing system to be determined by team promotion is for adult fans only z980 zonos,0
from darnals to caner peggy c ce bcc primary date 12231996 90100 am last modified date 2001nov20 141701 last touched date sent date 1996dec23 090100 received date 1996dec23 090100 subject  confidential  attachments mail system error  mail could not read the entire message from the postoffice some parts of the message may be missing ask the sender to resend the message rjro000000508001 943 70020 3163 size veezs,2
the role of oxidative processes in emphysema aaron janoff harvey carp phillipe laurent and linga raju invoduetion tire seme ofthis ssmpouiim ypronesies land aniirevcatet sm the ling especialy ‘the potennalimponiance of shee subtances fn medianing various form of lune rnjury “tne subject hae been reviewed ccunere parviculatly in connection sh ihe patho eenesis of pulmonary emphasera 8 swell lnonnshat ovine agems sho can produce sive damaee indeed both por eases and acs ated species of oxygen hase deen imphesied 3b mediators of immuno topic hing injury 0 po 0 link these two path connective tive geutruciion because ia ‘addition wo ther capaci 1 injure cells and inverceisian matrix aueetiy ovdants can ho perturb the homeostatic balance be ‘tween proteases snd thew repulatery ibe tors 89 panicularemphatis wil be placed ‘onthe inactivation of alpha iprotensse sn hhibitor the major tequisor of neutrophil elastase in the lover respiraiory uae of ‘man 10 by oxidanis ie eaten smoke in secretions of phagocytic ces sever so uther actions of cigarette smoke which imay also contnbuteo connecine issue a formas in the tong wil te ancussed possible biochemical inky beiveen pole fay emphysema and cigatete smoking wil ‘be summaries and several quewons raed for fore suds mechanism of elestose inubition by alpha iproveinese inhibitor ond the ‘effect of ovdizing gents ‘alpha tproteease inhibitor alpha iaet trypsin 81pi appeors to act a a prcade sobsiraie for ss target provesyens snd the sitet which recognition andor proteolysis ‘occurs represents the activeste of the ine fibror 1 stuctural studies have shown that the active site of 61 ps cor tive sites has not been ruled out 15 13 ‘apparcany thi meinionineenne bend fom that ‘timated leads to formation of exremey sable compleyes between one mole of pro lease and one mole of inbiot tae high mabilty of this complex mav be bved on covalent bonding berwevn the protease set re center nd the active ate of the tbe slthough the prevne mechanism 1 not a nay event the snnibnon of se by otps depends on the ntegety of 3 iethanimeserine sequence ne acine oe  ‘and perhaps that ofan ag rmetinowne reid near the eine chem cheeey ctr acknowledged w d jenkins fonine the configustion af lysine 1 and tyrosine 18 residue in oi py may ao af fects antiproseaseactvny ‘oxidation of a1 by chioraminet or n ehlorowuccinimide unger conditions that favor the selective cnidaicn of methionine toetber groups felts in alos of inhib ory activity 13 16 1922 strctural sudies have since confmed that activa tion of o1pi by chloramine t of nechioro succinimide is associated wih the oxiation ‘of two methionine residues in the inhibitor fone of which is presen in the methion sety1 active site 1322 onieation of the clive swe methionine residve results in fe duced interaction of heinbwior wich ne ophil and pancreate elastase 49 well a5 ypsin 13 20220 chymottypsininhbito 1 ead oey of oif we rlatvely unat fected by oxidation “whereas catia nhistony ‘deuity 1s most sever affected 3 202 ‘oxidation of the inkbsor reduces the rare of as astocration with neutrophil elastase by 8 factor of 2000 compared with that of the native wibitor 1 any elasiases pl ‘omplescs that may be formed appear 10 be less stable than norm 21 similar find ings have been obtained with synthe aks ate substrates containng methionine adja «eni 10 the senate bond oudation of the methionine sidechain im these syatbetc dernides atso reduces he sate of thew inter scion with pain clause 19 2 suppres ‘on of the inhibitory eapaciy of al by ‘ovidation aso readers int protein suscep ble to proscelyine digeston after incu wares publications 10336426 cof oxidized o1i with elastase the tr paral degraded 21 in ad ion t0 methionine xidstion  recent study has shown that speciic oxidation of rote residues in py can sso inact ave ies ohibtory function 18 besides 01 8 poten loca inhibitor of ‘euttophil laste and cathepain gis found tm bronchial screions 23 the bronchial ‘mucous inhibitor bmipy has been pontied land shown to be a calionie protein with 3 ‘molecular weght of 10 10 13000 dations 25 3 gadek and coleaeues 103 reported undcicabic lnets of bsipr in bronchesh veolar tavage mids of humans and they and others 271 have suggested that the prc ‘mary function of bmpi sto protect the op ber aways oroneh trachea and nase ‘phan aesimt protcabsicaly edad ine jury the acine site structure of bmpi ts row prenth’ ngsin however ovidizable residues also appar to be presen close to the reactive center ofthis inbaor ftc h personal communcation a slow rela from ihe deparment of patton lunneraty of new volk siem break 1a bic ply ana ine deparment of seeing ess any es cone pant sapnoned by frm rin sini pub hesin se hlt gouna for tobaser rewardh use ats n reaue for runs shod he addreved io be ‘aaton jones thyurumt i pune ‘eatin sioee cemsr suny m siam brot stoms tow ree nosh inde on 017379,6
  ae weecenen  weeene a  ski sername seas 81 oe os or ———s— r seermarmes  rose ra eon 7 pape pees wy oun asp a combi remanence mentee em rece end ete ae eeteinega se aa sons oeneascne eek mane s soe aaa rsis penagereemeematy so ane ‘eh fy ee ry ‘seve ee yey bu tn ee roa sen on mun me,4
from tuttleolm donna sock michelle d burkey kevin james primary date 1122000 32223 pm last modified date 2000jan12 152223 last touched date sent date 2000jan12 152223 received date 2000jan12 152223 subject feb  attachments the february 1st download will be used to generate a brands list for texas and minnesota for the calendar year 2000 kevin as discussed you may want to review the minnesota report format from last year well simply create the same report but insert the brands for 2000 let me know if there are questions ‘thanks donna tuttleolm rjr0000001379029266 70028 4451 ezs9 zz6zs,2
the ot gn pea cnboth fale ter ‘td irons uate 672030127 127 ed from béw web site,4
the tobacco institute 1475 1 street northwest ‘washington dc 20008 207 4574800  bu01249676 march 15 1988 memorandum to the communications committee from william kloepfer jr attached is the institute’s proposed strategic plan to manage the airline smoking issue with the new federal ban going into effect in six weeks it is critical that we proceed with preparations for our activities as soon as possible please review the public relations elements of the plan and return your approval or comments verbal or written to john lyons by noon friday march 18 specifically please focus on the following points which are italicized in your copies © strategy i tactics 1 3  10 and 12 o strategy ii tactics 3  6 and 9 o strategy iv tactics 5 and 6 © appendix e appendix e is a proposed advertising campaign directed at smokers urging them to comply with the ban and to write congress to get the law changed the proposal calls for fullpage blackwhite advertisements to run in 20 major newspapers throughout the us concentrating in airline hub cities the papers have a combined circulation of 131 million on a onetime basis total impressions would exceed 188 million the recommended schedule shows the ads running in national newspapers on thursday april 21 and friday april 22 onetime insertions on april 22 are recommended for regional newspapers e212 62906,0
orginal message ‘antrony levy © fricay uly 182001 458 pm cohen denise a dune voucher dstbuton  file cohen denise xis  urieptlebot,2
cavaliers are roideee s cavalens give you extra entra value at no extra cost,4
happy nev smoke with an upbeat flavor  lacy ohk forgot my cigartes driver you inuldtsagpen gaser sure thing lay try the new parliament’   thanks say what  handsome box and a reorssed filter too  jpll’s a nifty cigarette all right 1s got expensivg toboor too you can tell like it tapy mmm 2  lo itl what a wonderful flavor,4
college of physicians  surgeons of columbia university—new york ny 10032 department of biochemistry  620 west 16am street molecular biophysics pax 2129067008 name david hirsh phd robert wood johnson jr professor and ‘chairman of biochemistry title of project molecular genetic analysis of receptor mediated endocytosis in c  elegans telephone number duration of project thre first years annual direct cost dear council members enclosed please find our a 2am i ‘ch on protein uptake by cells the title of the proje besse on development in c elegans for many years rigi sees in to explore the components and molecularg from the desire to paked by parallel studies in our lab on internalizatio’ beawell as antigen uptake ‘the project began as a fe a proof of principals has been completed and study sincerely bev dtt oe david hirsh 50725959,0
2072335208 fernandez henry l to gary keller ce ‘sfarrapcoassoccom subject re lst materials cary £2 you on tuesday steve far wil be joining us regarés henry l fernandez youth smoking prevention programs philip morris usa 120 park avenue 1004 new york ny 10017 917 6633695 917 6630449fax,2
cigarette deadline sterday the cigarotte labeling and advertsing dct of 1068 which tne tobacco inusty can take fnore “credit” than congress—expired this law re hited a weak admonition against smoking tobe print edon cigarette packages but notin advertising where f strong warning might really count furthermore it tied the hands of the federal regulatory agencies ageinst any additional imitations on cigarettes for our yeets be done to protect the nation’s health—put into effect the federal trade commissions proposal fora stronger ‘warning to appear in all printed advertising and ban clgareie cominercials altogether as the federal con munications commission proposes on radio and television”  ‘but the house of representatives has come up with warning of sts own not against cigarette smoking but agtnst the federal regulatory agencies ‘the house would in effet extend the weak cigarette ‘act of 1065 including  provision thet once again ‘vould stop the fc from requlring a stringent warn ing to be included in all ads nd regardless of what the surgeon general and medical eclence might find ‘ot about the harmful effects of excessive smoking the house bill would prevent any regulation of ciga rete advertising until duly 1275 ‘i this week the federal trade commission will hol the new york times guly 1 1969 to fre hearings related to its rulemaking procedure on cigarette advertising even though the house bill fan up a red flag waming the commission against taking further steps the fc is acting boldly in the dublic’s interest drs luther terry and williem h stewart former and present surgeon general plus ‘witnesses for the cancer heart and tuberculosis asso lations will testify in favorof immediate action by the’ ftc ‘more backing for strong regulation will conte from the senate senator moss of utah will open hearings july 21 to elicit testimony on the impact of advertise ing—patticularly tv and radio—on young people and in august the fcc will take submissions from all sides on its proposed advertising ban if the federal government does nothing otnext to nothing the states will have to fill the breach the california senate last week voted to ben all elgacette advertising new york state has a lair on its books calling for  slightly franker warning on packs an ‘even stronger caution will be introduced in the nent session dut for each state where cigarettes are told pr advertised to pass its own laws is to da it the ‘hard way ° ‘the toad may be rocky but it fs now open as of july 1 for both ftc and fcc to press forward with thelr hearings and new rules surely now is the time for the administration itself to speak up in support of these agencies for the sake ofthe nation’s health sha yy a uhre corporate relations department esezszgz0z,9
both genes encoding the chains of platelet derived growth factor pdgf and synthesize pdgflike mitogen nm sitaras e sariban p pantazis 8 zetter avo hn antoniades deparment of nutrition harvard schoo of public health nms pp hnad taborotory of cinical pharmacology danafarber cancel institute 168 and department ‘of physiology and surgery children’s hospital medical center i harvard medes ‘school and the center tor blood research pp lna boston massachusetts 02115 in human umbilical vein and bovine aonic endothelial cals in culture es 1e expression and secretion of plaieletlenved growth factor pdch has ted we now report the presence of pdgf and res of human shac artery endo these cells syrthesize and sccrete pdgf rect mmunoprecipitation wih specific poge antiserum the pdgf proteins secreted by hiaec have molecular weights of 31 and 35 kd under nonreducing conditions upon reduction these proteins are converted 10 the monomen is and tko forms conditioned media dened trom hialc simulated the incorporation of mshymidine by 313 cells and competed with ®1pdgf for its binding 0 313 cell membrane feceptors the biologic actinty was stable to heating at 300°c for 1 min 2nd sensitive to redueing agents properties similar to those of authentic poc production of pdghiike mitogen by the human arteriah endothelial cells may like proteins identified by coon  330 oi et come stcntitnmmesnr ee sm a 2 human iliac artery endothelial cells express play an important role m the parachne modk thon following vascular injury human platelet derived growth factor pdgf tent mitogen for mesenchymalderived cells such 8 dip loid fibroblasts arterial smooth muscle celle and glial cells or a review ace antoniades and owen 1984 wes termark et al 1983 in vivo pdgf is apparently syn thesized by ‘megakaryocytes and transported in blood stored in the alphogranules of ploteleis these celle have an affinity for iyured sites aggregating there and feleasing ther contents ‘thus the patceta selectively deliver pdgf to sites of injury where it participates in the process leading to wound healing und tissue remodeling ‘pdgf consists of two homologous polypeptide chains pdgf and pdgf2 inked together by disulfide bonds antoniades and hunkapiller 1983 johnason etal 3984 the gene encoding the pdgf1 chain has been localized ‘on chromosome 7 betsholtz et al 1986 no viral gene homolog to the cellular pdgf i gene has been identified as yet the pdgf2 polypeptide chain ‘wag shown to be encoded by the simian sarcoma viral ssv oncogene vsis doolittle et al 1983 waterfield ‘etal 1983 und by its cellular counterpart ests josephs cet al 1984 chiu et al 1984 which is localized in ‘chromowome 22 swan etal 1982 dalla favera et al 1982 the pdgf gene protein products have been iden tified in ssvtransformed cells and mn several human rmaligmant coll lines of mesenchymal origin whoce nor ‘mal counterparts are targets to pdgf action for review 11907 alan liss inc publications 10318913 ion of artenal wall regenera see antoniades et sl 1966 i has been suggested that in ceritin cole of eenchymal oii inappgnte expression of the pdgf genes may play an important ole in the processes leading to neoplastic transforma tion antoniades 1984 betaholi2 etal 1966 production of pdgfike mitagen ‘ond pdgf2isis transcripts has been demonstrated in several nontrans formed cells including bovine sorta and umbilical vein endothelial cells dicorleto and bowen pope 1083 pox fend dicorleto 2984 barrett ot al 1984 collins t oh 1985 rophobiasts goustin etal 1985 smooth muscle cells ‘sejersen et ah 1986 activated and ‘acrophages martinet et al 1960 nd myeloid cll induced tn ‘long the monocytic macrophage lineage pantazis et al pdgf ike mitogena produced by nontransformed celle appear to play an important role in sutecrine eropho biren sioth mul cele ond parrine ecivated ‘monocytes and macrophages endthelial calls functions in tha paper we report tie prevence of both pdgf t ‘and pdgf2isie mrna transcripts im primary cultares of human iligc artery endothelial celle we alzo demon strate the eyntheeis and secretion of biologically active pdgf ike protcina by the primary sorte endothelial celts received yor publication january 9 1987 acepted may 4 1087 ‘to whom reprint requetacerreepondence shoul be evened 000206,6
philip morris “27 ac center p0 60 20563 sichmord virginia 2026 telepmo june 15 1982 c8211446 dr hadrian r katz arnold § porter 1200 new hampshire ave n washington d c 20036 dear harr i am enclosing a draft version of a paper describing the problems associated with the original u s testing study modified versions of the cigarette holder have now been sent for use with all the puff profile analyzers and the users have been notified of the problems inherent to lit smoking modified tables are enclosed firstly correcting the u s testing study for typographical errors in the data base and secondly applying corrections for flow partitioning and smoke generation as described in the paper the unlit volumes are essentially identical any differences being caused by rounding errors in the programme these tables show all of the smoking paraneters and thus expand upon the u s testing report of dilution alone the overall effect of these corrections has been to slightly increase the dilution change in going from tip to lip but we feel our previous conclusions are still valid if you have any further questions please contact either warren or myself yours sincerely rie warbn peter martin pm gm ce mr g c adkins nyo ff l f meyer mr w e claflin mr alc lilly enclosure es6eeze20z,0
annual meeting supplement volume 125 number 4 program april 1982 j and part 2 of 2 paris  abstracts 2 imerigan lu ais society q0c fercan thorac soot a tongress fon staff  fmeeing  esve zst0s,4
university of california san diego division of endocrinology and metarolsm oro si44e2 depariment of medicine m0130 asic science building room 1080 tajolla catifornia 52059 february 6 1990 mr robert f gertenbach the council for tobacco research 900 third avenue new york ny 10022 re grant no 2207r2 dear mr gertenbach oops please pardon my oversight in not returning these requested materials in a timely manner i remember that i sent a pack of reprints to the counci last fall and i guess i thought that i had sent everything don’t think that my oversight indicates that this grant has not been important tome it has enabled me to carry out projects that otherwise would not have gotten done i believe that those have been important projects and they are just now coming to full fruition i hope you have considered the funds well invested 111 try to write you a bangup and timely final report at the conclusion of this year yours sincerely jlo c fille ray c pittman phd research biochemist,0
from matthews brenda k to alan calhoun amy thompson barbara goho ben ruffin bryan snipes carole crosstin carolyn brinkley dan meadows david powers delise lebla foreman ellen merrit essie mccullough frank lester gene ainsworth glenda evans glenda goodman henry stokes jackie hemric jan fulton smith jd sheppard jean lowstetter jerry macfarland joan rutledge joan spencer joann robinson joe murray john fish john singleton joyce muench judy albert judy dobbs karen baker katherine schindler linda eubanks lynn hutchens m hurst ‘marshall mary hampton maura payne michael suggs mike phillips murray jones nat walker patricia lawrence patricia mabe phyllis rumple priscilla jackson randy ‘tompson richard williams rob meyne rogene smith roger mozingo ron cole runa henry seth moskowitz sheryl spainhour shirley miller stacy darnall steve strawsburg teresa wood tommy payne twyna hook vickie parrish vicky pierce vivian tumer ann stewart beth blackwell carla davis david welder emogene vestal jettie turner jim maguire joan roggenkamp judi haynes karen williams kaye hobson lyalls teresa m mandic kiger pam sadler richard cross ruth coleman shelby cheek susan hicks tonya styers bovender wayne jarvis wayne tucker ce bcc primary date 10271998 61411 am last modified date 1998oct27 061454 last touched da sent date 1998oct27 061411 received date 1998oct27 061411 subject the rjr news no 70  nj court denise class action status attachments nw981027doc rjr0000000039092442 70046 1179 8lb8 bl8g,2
2085215186 kelley lorenl white vicki friday september 17 1999 1105 am conroy mary leo buett denhart jay leo bumett lydon kristen leo burnett ce kelley loren l subject icom conference call recap hi everyone following is a recap of today’s conference call icom delivery icom will conduct the microfilmtape preparation process by survey database and will provide batches of names at the end of october november  december the minimum batch size is to be 250000 all names will hopefully be delivered by the end of december icom to confirm icom will provide estimated quantitiesdelivery dates for microfilm and tapes for each of the three months and will forward to me asap once we receive the october microfilm  tapes conduct msci qc and determine newupdate quantities we will decide if there are enough names for a december new name recertification mailing  to include the first of 3 batches of icom names only i 1 icom will revise the estimated quantity of names for program 99128 and 99129 and  will forward to mary 2 the data tape test dump will consist of 50 randomly selected names from each of icoms surveys spring 98 fall 98 spring 99 contract  will followup with the 2nd draft of the contract and forward to icom for review please let me know if you have any questionschanges and have a great weekend thanks vicki page 1,2
dual ut t picenwoiogy © intematonal epriemoiogeal associaton 1994 yel 23 no2 pentedin gieat botan childhood and adolescent passive smoking and the risk of female lung cancer fulin wang” edgar john love” ning liu and xudong dai wang fl department of community health sciences facully of medicine university of calgary 3390 hospital dr nw calgary alberta canada t2n 4nt  love ej liv n and dai xd childhood and adolescent passive smoking ‘and the isk of female lung cancer intemational joumal of epidemiology 1998 23 225290 background few studies have reported the relationship between passive smoking ps in early ile and the risk of lung cancer this study was done fo evaluate the risk of female lung cancer trom ps especially that duting childhood and adolescence methods using household exposure to tobacco smoke as an estimate of ps a 11pated casecontrol study was ‘conducted in harbin china we interviewed 114 fer male primary lung cancer cases aged 3069 years and thei hospitalbased controls the controls were noncancer patients elected from the same hospital as the cases and ‘matched on age  § years residential area and ‘smoking status over their iletime there were 59 pairs who ever ‘smoked and §5 paits who never smoked information on ps was collected by residence for each ot the following erin 06 714 1522 2320 and 3169 years re 5 household ps significantly increases the risk of femal who have ever smoked the risk was also increased for those le lung canoer for those exposed at ages 22 or younger ‘nonsmoking pairs whien exposed under the age of 15 yeats exposure to maternal smoking al ages 14 or younger increased the risk by about 170 odds ratio oa 2 7 ‘85 confidence interval ci 149 488 but not to patemal smoking or 140 95ci 0922 50 the risk was highest for those exposed under the age of seven or 346 9icl 180665 and was also sigaicant at ages 714 or 308 95°4ci 162557 and 1 increased with amount of psp 0 to those forall 114 pairs studied conclusions household ps particularly that during childhood assessment of ps should be done by ditferent periods of exposure there is increasing evidence suggesting that involuntary of passive smoking ps increases the risk of lung can cer however the findings have not been consistent with respect to who are at higher risk adults or children some studies have noted the importance of exposure to tobacco smoke in early life in relation to cancer risk in adulthood while others found no association for non aoking women exposed to tobacco smoke during childhood in addition the methods to estimate ps varied by study the estimate of ps from only the husband or the spouse which has often been used is in question this study using house ‘hold exposure to tobacco simoke 88 an estimate of ps attempted to clarify further the relationship between female lung cancer and ps pariment of community health since faculty of meine un ity oficatgary 3330 hospital dr nw calgary altera tan ant ‘depantmeat of epidemiology helogiang lsu for cancer re atch harbin the people’s republic af chine 223 1522 or 310 96ci 152631 years under the age of 23 years the or 001 ot note the or inal ve exposure periods fornonsmoking paifs were similar increases the tisk of female tung cancer the especially that during childhood data were collected in the city of harbin the people’s republic of china during 19851987 materials and methods ‘the cases were female primary lung cancer patients who were selected from the harbin cancer registry the criteria for inclusion were resident of harbin city aged 3069 years and diagnosed by histopathology during january 1985 and november 1986 a total of 114 cases were eligible and alliwere interviewed facetoface they included 5 adenocarcinoma 28 squamous cell carci ‘noma 20 small cell and oat cell carcinoma and 11 other types a reporting system was set up toensure quick registration of cases and immediate investigation ‘the controls were patients without cancer from ad missions to the same hospital as the cases and matched on age   years residential area and smoking status over lifetime whether of not acurrent or exsmoker information on sex age residentialiarea and the diagno siswas obtained from the patient file and the preliminary e6terpszoz,6
hj reynolds tobacco company interoffice memorandum wert sanna ho 27102 ru january 22 1980 mr d p johnson subject leaf blends development project no 8392 project title nicotine reduction of leaf blends there is an apparent concern within the company for the relatively low level of the tarnicotine ratio in the smoke produced by our products dr laurene discussed this riefly in a meeting with the research development and  quality control staffs on january 8 1980 in discussing the major points of emphasis for the 1980 rd program he pointed out that we should approach a solutionto this con cern for relatively low tarnicotine ratio levels in our products by considering the tobaccos used in the formulation of then perhaps a brief review of the evolution in tobacco usage for the production of cigarettes would clarify our present position at the time that five nonfiltered products made up approximately ninety percent of the domestic cigarette sales these products were formulated utilizing domestic fluecured burley and maryland strips to make up approxi mately eightyseven percent of the tobacco blend orventel tobacco made up approximately eight percent and processed stems about five percent the casing and flavoring techno logy was relatively basic and uncomplicated when compared to the technology that exists in the industry today the technology in filters filtration efficiencies cigarette papers and dilution systems was essentially nonexistant and tarnicotine ratio levels had not been conceived the domestic tobaccos were selected from farm grades produced in the lower onehalf to twothirds of the plant the oriental leaf was selected from the american grades pro duced in the upper part of the plant to achieve the rich ness and fullness of odor and taste imparted to the smoke upon combustion the advent of the filtered cigarette and the increasing acceptance of these products by the consumer have resulted in enormous changes in the formulation of domestic cigarettes 6086 ethos,0
campbell stuart 3 monday december 20 1999 859 am lee doris m ‘saunders michael f griffin terry k ‘subject fw april 2000 menu roll up urgentiii1 importance high doris here is additional information from sections 21 and 24 relating to april 2000 supplemental budget requests section 24 stuart below is the inform nn for why  am ordering the extra coreplast signs section 21 has the following 5430 convenience stores 3820 convenience stores with rl dr l91088l07,2
